x,Curve1
-1280.96,-104.38
-1309.15,-104.759
-1337.34,-105.138
-1365.53,-105.516
-1390.73,-106.682
-1417.82,-107.521
-1445.12,-108.316
-1472.41,-109.114
-1499.62,-109.941
-1526.96,-110.707
-1555.13,-111.099
-1583.3,-111.491
-1590.56,-109.937
-1584.88,-107.176
-1579.2,-104.415
-1567.86,-101.833
-1556.3,-99.256
-1544.39,-96.699
-1529.86,-94.275
-1515.32,-91.85
-1500.79,-89.426
-1486.42,-86.992
-1472.23,-84.549
-1458.03,-82.105
-1443.84,-79.661
-1429.64,-77.218
-1415.45,-74.774
-1401.25,-72.331
-1387.01,-69.89
-1372,-67.494
-1356.98,-65.099
-1341.97,-62.703
-1326.96,-60.308
-1311.94,-57.913
-1297.1,-55.507
-1282.42,-53.091
-1267.75,-50.676
-1253.07,-48.26
-1238.39,-45.844
-1223.72,-43.429
-1209.04,-41.013
-1194.37,-38.597
-1179.89,-36.17
-1165.48,-33.738
-1151.06,-31.307
-1136.65,-28.876
-1122.24,-26.445
-1107.82,-24.014
-1093.41,-21.583
-1078.99,-19.152
-1064.58,-16.721
-1050.17,-14.29
-1035.75,-11.858
-1021.07,-9.443
-1006.21,-7.039
-991.35,-4.634
-976.48,-2.23
-961.62,0.175
-946.76,2.579
-931.89,4.984
-917.03,7.388
-902.17,9.793
-887.3,12.197
-872.44,14.602
-856.69,16.948
-839.89,19.224
-823.09,21.5
-806.29,23.777
-788.84,26.002
-770.16,28.129
-751.47,30.257
-732.79,32.384
-712.45,34.347
-690.86,36.185
-669.27,38.023
-646.92,39.768
-624.29,41.479
-601.24,43.133
-577.71,44.721
-554.19,46.308
-529.3,47.67
-504.08,48.978
-478.86,50.285
-453.64,51.592
-428.41,52.899
-402.18,53.991
-375.9,55.073
-349.61,56.154
-323.33,57.235
-297.04,58.317
-270.76,59.398
-244.47,60.479
-217.6,61.402
-190.56,62.279
-163.51,63.157
-136.47,64.034
-109.42,64.911
-82.37,65.784
-55.12,66.598
-27.88,67.412
-0.64,68.226
26.61,69.041
54.54,69.574
82.48,70.107
110.42,70.64
131.9,70.717
117.68,68.275
103.46,65.833
89.24,63.391
75.02,60.948
60.8,58.506
46.58,56.064
32.36,53.622
17.82,51.198
3.29,48.774
-11.24,46.349
-25.78,43.925
-40.31,41.501
-54.84,39.077
-69.38,36.653
-83.91,34.229
-98.58,31.813
-113.26,29.397
-127.94,26.981
-142.61,24.566
-157.29,22.15
-171.96,19.734
-186.64,17.318
-201.32,14.903
-215.69,12.469
-230.04,10.035
-244.4,7.6
-258.76,5.166
-273.12,2.732
-287.48,0.297
-301.84,-2.137
-316.19,-4.571
-330.7,-6.997
-345.26,-9.42
-359.82,-11.842
-374.38,-14.265
-388.94,-16.687
-403.5,-19.11
-418.76,-21.487
-435.29,-23.783
-451.82,-26.078
-468.35,-28.374
-484.88,-30.67
-501.41,-32.965
-517.94,-35.261
-537.04,-37.351
-556.21,-39.435
-575.39,-41.52
-594.57,-43.604
-614.72,-45.595
-635.04,-47.57
-655.36,-49.545
-675.69,-51.519
-696.7,-53.422
-717.8,-55.315
-738.9,-57.208
-760,-59.101
-782.24,-60.854
-805.47,-62.484
-828.7,-64.113
-851.93,-65.743
-875.17,-67.373
-898.8,-68.945
-922.46,-70.512
-946.13,-72.079
-969.8,-73.646
-993.47,-75.213
-990.05,-72.905
-973.23,-70.63
-956.42,-68.355
-941.22,-65.979
-927.76,-63.495
-914.3,-61.011
-900.84,-58.527
-885.92,-56.128
-870.68,-53.746
-855.44,-51.365
-840.37,-48.974
-826.39,-46.518
-812.41,-44.062
-798.43,-41.606
-783.66,-39.197
-768.48,-36.812
-753.3,-34.427
-738.39,-32.025
-723.55,-29.619
-708.71,-27.213
-694.04,-24.797
-679.5,-22.374
-664.95,-19.95
-650.41,-17.527
-635.86,-15.103
-621.32,-12.68
-606.77,-10.256
-592.23,-7.833
-577.68,-5.409
-563.14,-2.986
-548.6,-0.562
-534.05,1.861
-519.49,4.284
-504.93,6.706
